Filename;NasNet-L TOP5?;NasNet-L TOP1?;DenseNet 201 TOP5?;DenseNet 201 TOP1?;EfficientNetB7 TOP5?;EfficientNetB7 TOP1?;Classification Correct;Votes for easy to classify
uzUpltzR.png;0;0;0;0;0;0;0;4
uzq8JHcv.png;0;0;0;0;0;0;0;5
v8BUbM0qzh.png;0;0;0;0;0;0;0;0
vdTpgLvv.png;1;1;1;1;1;1;6;1
vi109UTc.png;0;0;0;0;0;0;0;0
vwj2tucD.png;1;0;0;0;1;0;2;1
w76UyAAA.png;0;0;0;0;0;0;0;0
wOo8ErAp.png;0;0;0;0;0;0;0;0
waIStcBU.png;1;0;1;1;0;0;3;0
wjEH5Wse.png;1;1;1;1;1;1;6;5
xadCi5HBxc.png;0;0;0;0;0;0;0;2
xbCT8GYB.png;0;0;0;0;1;0;1;0
